P89 M,P89 P,P93 M,P93 P,CP01 M,CP01 P,CH03 M,CH03 P,P07 M,P07 P,W04 M,W04 P,P10 M,P10 P,S21 M,S21 P
-2.052,-0.703704813,-2.249,-2.265184346,-2.283,-0.942313604,-3.748,-3.707487263,-2.602,-2.151697866,-3.48,-3.189946851,-3.952,-3.273229156,-3.474,-3.195737967
-2.047,-0.69889249,-2.086,-2.202460744,-2.284,-0.943313604,-3.851,-3.668881599,-2.062,-1.628602231,-3.951,-3.661596281,-3.85,-3.17212583,-3.41,-3.128463487
-2.07,-0.72189249,-1.805,-2.013474643,-2.313,-0.977400048,-3.743,-3.702487263,-2.605,-2.196526297,-4.008,-3.718596281,-3.72,-3.04212583,-3.328,-3.057862096
-2.104,-0.757369035,-1.62,-1.893720318,-2.243,-0.906451511,-3.842,-3.654026604,-2.862,-2.491075532,-3.28,-2.990596281,-3.74,-3.06212583,-3.467,-3.196862096
-2.192,-0.847193502,-1.271,-1.610673502,-2.319,-0.982451511,-3.824,-3.662879304,-1.925,-1.577784598,-3.542,-3.252596281,-3.857,-3.17912583,-3.46,-3.19361637
-1.959,-0.614529088,-1.351,-1.757291501,-2.264,-0.927451511,-3.739,-3.730066239,-1.649,-1.314663817,-3.589,-3.299596281,-3.805,-3.134220152,-3.425,-3.155299838
-2.217,-0.872876472,-3.887,-4.067579825,-2.496,-1.161356427,-3.762,-3.594801084,-2.84,-2.517895062,-3.696,-3.407227521,-3.885,-3.211445266,-3.444,-3.174299838
-2.203,-0.860772343,-3.873,-4.006347833,-2.342,-1.011863408,-3.693,-3.525801084,-3.091,-2.765780634,-3.548,-3.259227521,-3.864,-3.189526797,-3.421,-3.151299838
-2.542,-1.200187252,-3.805,-3.983639801,-2.274,-0.948617593,-3.712,-3.538619282,-1.729,-1.413163324,-3.528,-3.239227521,-3.716,-3.044291965,-3.41,-3.144025057
-2.525,-1.185369393,-1.118,-1.582179401,-2.388,-1.062617593,-3.706,-3.697066239,-2.105,-1.816129704,-3.791,-3.502894947,-3.795,-3.120526797,-3.331,-3.068347876
-2.444,-1.104369393,-3.859,-3.985194186,-2.154,-0.828617593,-3.879,-3.705619282,-1.934,-1.666274062,-3.852,-3.563826097,-3.648,-2.976291965,-3.484,-3.225407585
-1.923,-0.583369393,-3.902,-4.05314964,-2.493,-1.168705121,-3.649,-3.64106793,-2.848,-2.606207577,-3.769,-3.480826097,-3.508,-2.836291965,-3.469,-3.210407585
-2.051,-0.713782994,-1.334,-1.616185823,-2.288,-0.974084112,-3.877,-3.697334805,-2.931,-2.698784092,-3.56,-3.271826097,-3.682,-3.010291965,-3.474,-3.215407585
-2.056,-0.718782994,-3.806,-3.927333279,-2.161,-0.848303603,-3.609,-3.631805972,-3.481,-3.25006122,-3.724,-3.436524398,-3.856,-3.181526797,-3.65,-3.39869912
-1.921,-0.586429149,-3.627,-3.703008972,-2.322,-1.010528485,-3.879,-3.725975034,-3.591,-3.361255617,-3.602,-3.314239411,-3.89,-3.218291965,-3.627,-3.379526376
-2.099,-0.764429149,-3.757,-3.859474272,-2.518,-1.213512138,-3.517,-3.539805972,-2.913,-2.679921594,-3.64,-3.352239411,-3.899,-3.231690352,-3.631,-3.383526376
-2.091,-0.759308903,-0.866,-1.417683846,-2.509,-1.204512138,-3.878,-3.71846385,-1.947,-1.720343418,-3.894,-3.606309179,-3.864,-3.196690352,,
-2.128,-0.796308903,-0.831,-1.147579306,-2.538,-1.240878145,-3.523,-3.546729819,-2.011,-1.786689823,-3.769,-3.481524398,-3.841,-3.173690352,,
-2.213,-0.884423258,-0.703,-1.352752193,-2.929,-1.634608442,-3.881,-3.72146385,-2.103,-1.89109542,-3.733,-3.445239411,-3.897,-3.234123229,,
-2.065,-0.737139295,-3.593,-3.700328467,-2.685,-1.398488104,-3.455,-3.509698994,-1.828,-1.640321191,-3.643,-3.355309179,-3.871,-3.208123229,,
-2.076,-0.751549424,-1.238,-1.63266032,-2.511,-1.231253633,-3.879,-3.739386839,-2.232,-2.067218359,-3.722,-3.434524398,-3.829,-3.166123229,,
-1.98,-0.660043132,-0.46,-1.198827516,-2.666,-1.393274927,-3.878,-3.738386839,-2.028,-1.896888225,-3.871,-3.583309179,-3.707,-3.060070634,,
-1.918,-0.598043132,-3.311,-3.481479455,-2.822,-1.556552296,-3.468,-3.522698994,-2.047,-1.949224057,-3.563,-3.275239411,-3.707,-3.060070634,,
-1.983,-0.663043132,-1.809,-2.880033762,-2.521,-1.261400318,-3.879,-3.732544001,-2.973,-2.869878554,-3.809,-3.521379928,-3.681,-3.03861693,,
-2.079,-0.763906257,-1.685,-2.749508931,-2.509,-1.246030081,-3.4,-3.455541758,-3.197,-3.088496324,-3.556,-3.269180252,-3.668,-3.02561693,,
-2.142,-0.826906257,-1.445,-2.532659507,-2.391,-1.133873938,-3.879,-3.759095401,-2.798,-2.689547416,-3.723,-3.436103596,-3.678,-3.03561693,,
